1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
3050,Groupe Leclerc,19 rue de Rotterdam,Saint-Augustin-de-Desmaures,Quebec,G3A 1T1,418-878-2601,2022-01-24,leclerc.ca,,2023-12-02 13:33:43,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3171,3119 Carp Road General Partnership,1963 Old Carp Rd,Carp,Ontario,K0A 1L0,613-839-7656,2022-07-14,,,2023-10-12 10:28:36,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3253,The Corporation of the City of Guelph,1 Carden St,Guelph,Ontario,N1H 3A1,519-822-1260,2022-01-28,,,2023-10-12 10:28:37,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3265,Moser Landscape Group,495 Dotzert Ct,Waterloo,Ontario,N2L 6A7,519-886-9231,2022-12-01,moserlandscapegroup.ca,,2023-12-02 13:18:35,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3266,The Guelph Curling Club Ltd,816 Woolwich St,Guelph,Ontario,N1H 6J2,519-822-6171,2022-11-30,,,2023-10-12 10:29:29,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3404,Northernsky Brighton Partners Ltd,2575 Woodhull Rd,London,Ontario,N6K 4S4,226-270-7847,2022-01-25,,,2023-10-12 10:29:30,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3496,Wm Sharpe Farms Ltd,"7707 Mill Rd, RR 4",Guelph,Ontario,N1H 6J1,,2022-03-22,sharpefarm.ca,,2023-12-09 16:47:23,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3964,Groupe Deschenes,"390 rue Jarry E, Bur 250",Montreal,Quebec,H1Z 2G1,514-253-3110,2022-03-31,,,2023-10-12 10:29:41,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3983,Urbanscape Designs Ltd,85 Edwin St S,,,N2H 4N7,,2022-02-02,,,2023-10-12 10:29:41,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
4157,Activityplex Guelph Corp,"5160 Yonge St, Ste 1005",,,M2N 6L9,,2022-03-14,,,2023-10-12 10:29:46,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
4477,Hope Bible Church Niagara,10 Arlington Ave,St Catharines,Ontario,L2P 3A4,905-646-7777,2022-12-20,,,2023-10-12 10:29:54,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
4710,Localpharm Ltd,3016 Dundas St W,,,M6P 1Z3,,2022-07-18,,,2023-10-12 10:30:04,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
4951,Alpha Hospitality Inc,28 Oseco Way,Brampton,Ontario,L6P 4M7,,2022-01-18,,,2023-10-12 10:30:12,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
4972,233 Colborne Inc,"2939 Portland Dr, Ste 100",Oakville,Ontario,L6H 5S4,,2023-07-13,,,2023-10-12 10:30:13,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
4978,FREP (Southwell) Acquisition Corp,"170 The Donway West, Ste 208",,,M3C 2G3,,2023-07-10,,,2023-10-12 10:30:13,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
5197,Groupe Mach Inc,"630 rue Saint-Paul O, Ste 600",Montreal,Quebec,H3C 1L9,514-374-6224,2022-03-01,groupemach.com,,2023-12-02 13:15:58,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
5206,McCarter Grespan LLP,675 Riverbend Dr,Kitchener,Ontario,N2K 3S3,519-571-8800,2022-01-25,,,2023-10-12 10:30:17,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
5350,Lisa Philp &amp; Associates Ltd,5063 North Service Rd,,,L7L 5H6,,2023-01-13,,,2023-10-12 10:30:25,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
5359,Fasken Martineau DuMoulin LLP,"550 Burrard St, Ste 2900",Vancouver,British Columbia,V6C 0A3,604-631-3131,2023-01-12,,,2023-10-12 10:30:25,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
5483,Gaspe Estates Ltd,,Etobicoke,Ontario,M8Y 2L3,,2023-03-30,,,2023-10-12 10:30:28,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
5687,SBLP Scarborough Shopping Centre Inc,"2 Bloor St W, Ste 1001",,,M4W 3E2,,2023-01-26,,,2023-10-12 10:30:34,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
5701,Listowel Agripipe Inc,"5384 Line 81, RR 4",Listowel,Ontario,N4W 3G9,,2023-01-18,,,2023-10-12 10:30:34,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
5731,Frep (Southwell) Acquisition Corp,"170 The Donway W, Ste 208",,,M3C 2G3,,2023-05-30,,,2023-10-12 10:30:35,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6082,Harnois Groupe Immobilier Inc,80 Rte 158,,,J0K 3L0,,2023-07-18,,,2023-10-12 10:30:52,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6104,The Toronto Christadelphian Assembly (Central),728 Church St,Toronto,Ontario,M4W 2M6,416-923-8381,2023-06-01,,,2023-10-12 10:30:52,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6314,Sunland Landscape Inc,21 Prince William Way,,,L4N 0Y6,,2023-05-15,,,2023-10-12 10:31:05,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6327,Strathallen Acquisitions Inc,"2 Bloor St W, Ste 1001",Toronto,Ontario,M4W 3E2,416-922-5553,2023-05-01,strathallen.com,,2023-12-09 16:45:56,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6396,Groupe Mach Inc,"630 Saint-Paul St W, Ste 600",Montreal,Quebec,H3C 1L9,514-374-6224,2022-07-15,,,2023-10-12 10:31:14,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6429,Freight Partners,7485 Bath Rd,Mississauga,Ontario,L4T 4C1,905-565-0321,2023-07-31,,,2023-10-12 10:31:16,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6510,Seeds of Hope Foundation,6 St Joseph St,Toronto,Ontario,M4Y 1J7,416-923-8836,2023-07-07,,,2023-10-12 10:31:19,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6585,Groupe Mach Inc,"630 Saint-Paul St W, Ste 600",Montreal,Quebec,H3C 1L9,514-374-6224,2023-07-25,pbcoffices.com,,2023-12-09 16:45:47,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6620,Dolphin Gaming,"1911 Eglinton Ave E, Unit 4",Scarborough,Ontario,M1L 2L6,416-759-3066,2023-07-10,,,2023-10-12 10:31:21,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6626,Plaza Partners,"22 St Clair Ave E, Ste 1203",Toronto,Ontario,M4T 2S5,416-481-2222,2023-07-05,plazapartners.com,,2023-12-02 13:10:46,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6776,Frep (Southwell) Acquisition Corp,"170 The Donway W, Ste 208",,,M3C 2G3,,2023-06-09,,,2023-10-12 10:31:28,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6870,Alpha Resources Ltd,51 St Regis Cres,North York,Ontario,M3J 1Y6more info: mi.pdf,416-514-0804,2023-06-05,wgh.on.ca,,2023-12-02 13:34:06,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
6884,Van Beek&#039;s Landscape Supply,2410 Lower Base Line,Oakville,Ontario,L6M 4G1,866-778-5824,2023-06-01,,,2023-10-12 10:31:30,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7016,Salpam International Inc,"100 Sheppard Ave E, Ste 820",,,M2N 6N5,,2023-06-01,,,2023-10-12 10:31:35,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7042,Minden Gross LLP,"145 King St W, Ste 2200",Toronto,Ontario,M5H 1J9,416-362-3711,2022-03-28,mindengross.com,,2023-12-09 16:47:35,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7075,Guelph Farley GP Corp,"1515 Gordon St, Ste 203",,,N1L 1C9,,2022-03-08,,,2023-10-12 10:31:43,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7470,Garrard Limited Partnership GP Inc,"2680 Skymark Ave, Ste 800",,,L4W 5L6,,2022-11-30,,,2023-10-12 10:32:09,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7502,HBNG Holborn Group,161 Trade Valley Dr,Vaughan,Ontario,L4H 3N6,905-738-6671,2022-11-17,,,2023-10-12 10:32:10,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7781,The Trustees of Philpott Memorial Church,84 York Blvd,Hamilton,Ontario,L8R 1R6,905-523-7000,2023-09-19,,,2023-10-12 10:32:21,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7847,Guelph Rest Home Inc,2360 Millrace Ct,,,L5N 1W2,,2023-09-26,,,2023-10-12 10:32:24,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7855,SBLP Renfrew Shopping Centre Inc,"130 Bloor St W, Ste 300",,,M5S 1N5,,2023-09-21,,,2023-10-12 10:32:24,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7880,ORA Acquisitions Inc,"271 Spadina Rd, 4th Flr",Toronto,Ontario,M5R 2V3more info: mi.pdf,,2023-09-07,,,2023-10-12 10:32:24,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
