1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
11003,Northview Apartment REIT,,Calgary,Alberta,T2H 1L9,403-531-0720,2018-01-04,,,2023-10-26 19:27:25,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11222,PD Reitsma Surveying Ltd,25 McCrae Dr,Welland,Ontario,L3C 3M3,,2017-12-19,,,2023-10-27 15:28:53,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11228,"Reiter, Nemetz","298 Sheppard Ave W, Ste 100",Toronto,Ontario,M2N 1N5,416-665-1458,2017-12-05,,,2023-10-27 15:28:53,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11229,ECF REIT GP Inc,10572 - 105th St,Edmonton,Alberta,T5H 2W7,780-424-7722,2017-11-10,,,2023-10-27 15:28:53,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11232,Dream Office REIT,"30 Adelaide St E, Ste 301",Toronto,Ontario,M5C 3H1,416-365-3535,2017-09-20,dundeereit.com,,2023-12-02 13:40:48,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11241,Crombie REIT,"610 East River Rd, Ste 200",New Glasgow,Nova Scotia,B2H 3S2,902-755-8100,2017-07-06,,,2023-10-27 15:28:55,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11249,Reiter International Ltd,"298 Sheppard Ave W, Ste 100",Toronto,Ontario,M2N 2N5,416-665-1458,2017-06-09,,,2023-10-27 15:28:55,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11261,Calloway REIT (Halton) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L4K 5X3,905-326-6400,2017-01-04,,,2023-10-27 15:28:55,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11262,PRO REIT,"2000 Mansfield St, Ste 920",Montreal,Quebec,H3A 2Z6,514-933-9552,2018-12-20,,,2023-10-27 15:29:45,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11263,Crombie REIT,"610 East River Rd, Ste 200",New Glasgow,NS,B2H 3S2,902-755-8100,2018-12-18,,,2023-10-27 15:29:45,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11274,"Reiter, Nemetz","298 Sheppard Ave W, Ste 100",Toronto,Ontario,M2N 1N5,416-665-1458,2018-11-13,,,2023-10-27 15:29:45,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11284,Reithof Rumke Inc,20557 Highway 2,Lancaster,Ontario,K0C 1N0,,2018-07-31,,,2023-10-27 15:29:46,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11286,ECF REIT GP Inc,10572 - 105th St,Edmonton,Alberta,T5H 2W7,780-424-7722,2018-07-19,,,2023-10-27 15:29:46,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11291,Killam Apartment REIT,"3700 Kempt Rd, Ste 100",Halifax,Nova Scotia,B3K 4X8,902-453-9000,2018-07-16,,,2023-10-27 15:29:46,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11297,Agellan Commercial REIT,"156 Front St W, Ste 303",Toronto,Ontario,M5J 2L6,416-593-6800,2018-05-31,,,2023-10-27 15:29:46,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11318,Crombie REIT,"610 East River Rd, Ste 200",New Glasgow,Nova Scotia,B2H 3S2,902-755-8100,2020-12-08,,,2023-10-27 15:30:06,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
