1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
12866,Amsabhu Investor Group Onc,144 Moffatt Ave,Brampton,Ontario,L6Y 4R8,,2019-08-13,,,2023-11-02 18:15:30,'2023-11-02 18:15:30'),investment,investment,0,1,0,0,0,0,0,0,0
12867,Caras Investments Ltd,2 Maple Manor Ct,Kitchener,Ontario,N2P 2M1,,2019-08-13,,,2023-11-02 18:15:30,'2023-11-02 18:15:30'),investment,investment,0,1,0,0,0,0,0,0,0
12878,Spennie Holdings Inc,69 Hillcrest Dr,Stratford,Ontario,N5A 6W4,519-305-2012,2019-08-01,,,2023-11-02 18:15:30,'2023-11-02 18:15:30'),investment,investment,0,1,0,0,0,0,0,0,0
12880,Sureal Investments Ltd,53 1/2 Olive Ave,Toronto,Ontario,M6G 1V2,416-516-4747,2019-08-01,,,2023-11-02 18:15:30,'2023-11-02 18:15:30'),investment,investment,0,1,0,0,0,0,0,0,0
12886,Drewlo Holdings,"320 Dundas St, Unit 2",London,Ontario,N6B 3R8,519-472-8200,2019-07-31,,,2023-11-02 18:15:31,'2023-11-02 18:15:31'),investment,investment,0,1,0,0,0,0,0,0,0
12892,Le Holdings Corp,433 Forest Lawn Ave,London,Ontario,N5V 1T2,519-452-7604,2019-07-31,le.com,,2023-12-02 13:44:27,'2023-11-02 18:15:31'),investment,investment,0,1,0,0,0,0,0,0,0
12908,Wanthome Commercial Investment Ltd,"3195 Sheppard Ave E, Unit 206",Toronto,Ontario,M1T 3K1,905-415-8809,2019-07-25,,,2023-11-02 18:15:31,'2023-11-02 18:15:31'),investment,investment,0,1,0,0,0,0,0,0,0
12917,Reyn Bellville Holdings Inc,"4810 rue Jean-Talon W, Ste 208",Montreal,Quebec,H4P 2N5,,2019-07-22,,,2023-11-02 18:15:32,'2023-11-02 18:15:32'),investment,investment,0,1,0,0,0,0,0,0,0
12925,EME Holdings Inc,5990 Main St,Niagara Falls,Ontario,L2G 5Z8,905-933-8375,2019-07-12,,,2023-11-02 18:15:32,'2023-11-02 18:15:32'),investment,investment,0,1,0,0,0,0,0,0,0
12930,Greater Sarnia Investment Corp,2109 London Line,Sarnia,Ontario,N7T 7H3,519-336-9361,2019-07-11,,,2023-11-02 18:15:32,'2023-11-02 18:15:32'),investment,investment,0,1,0,0,0,0,0,0,0
